Emergency Condition,Symptoms,First Aid Steps
"High Blood Sugar"," Recurring fatigue with excessive thirst and increased urination","Advise water intake, monitoring, and follow-up with a doctor for blood sugar control."
"High Blood Sugar"," Constant tiredness with unquenchable thirst and blurred vision","Recommend hydration and rest, and prompt medical evaluation for blood sugar levels."
"High Blood Sugar"," Persistent fatigue with excessive thirst and frequent urination","Advise to drink water, rest, and seek professional guidance on managing blood sugar."
"High Blood Sugar"," Overwhelming tiredness with high thirst and blurry vision","Encourage hydration and monitoring, and contact a healthcare provider if symptoms persist."
"High Blood Sugar"," Recurring lethargy with persistent thirst and high urination frequency","Advise water consumption, rest, and immediate consultation with a medical professional."
"High Blood Sugar"," Excessive thirst with continuous tiredness and occasional blurred vision","Recommend hydration, a period of rest, and a check-up for blood sugar levels."
"High Blood Sugar"," Persistent fatigue with overwhelming thirst and frequent bathroom visits","Encourage water intake, monitoring of symptoms, and follow-up with a healthcare provider."
"High Blood Sugar"," Lethargy with unrelenting thirst and occasional blurred vision","Advise hydration, rest, and prompt medical evaluation of blood sugar levels."
"High Blood Sugar"," Overwhelming tiredness with excessive thirst and increased urination","Recommend drinking water, taking a rest, and consulting a doctor for blood sugar management."
"High Blood Sugar"," Recurring fatigue with persistent thirst and blurry vision","Advise hydration, regular monitoring, and a timely check-up with a healthcare provider."
"High Blood Sugar"," Constant tiredness with high thirst and frequent urination episodes","Encourage water intake, rest, and immediate consultation with a doctor if condition worsens."
"High Blood Sugar"," Excessive thirst with ongoing fatigue and blurred vision","Recommend hydration and rest, and suggest contacting a healthcare professional for advice."
"High Blood Sugar"," Persistent lethargy with unquenchable thirst and high urination","Advise the person to drink water, relax, and seek professional guidance for blood sugar control."
"High Blood Sugar"," Overwhelming tiredness with persistent thirst and blurry vision","Encourage hydration, monitor symptoms closely, and consult a healthcare provider if needed."
"High Blood Sugar"," Recurring fatigue with excessive thirst and frequent urination","Advise water consumption, rest, and immediate evaluation by a medical professional."
"High Blood Sugar"," Constant tiredness with unrelenting thirst and occasional blurred vision","Recommend hydration, a period of rest, and prompt consultation with a healthcare provider."
"Electric Shock"," Visible burns, muscle spasms, and confusion after shock","Immediately turn off the power source, check responsiveness, and call emergency services; do not move the victim if spinal injury is suspected."
"Electric Shock"," Numbness with muscle contractions and shallow breathing post-shock","Disconnect the power safely, check for responsiveness, and call emergency help immediately."
"Electric Shock"," Burns with loss of consciousness and disorientation","Shut off the source of electricity, do not touch the victim if still in contact, and call emergency services immediately."
"Electric Shock"," Muscle twitching, burns, and confusion after contact with electricity","Disconnect power safely, monitor breathing, and call for emergency help immediately."
"Electric Shock"," Severe pain, burn marks, and loss of motor control post-shock","Turn off the power source, check for responsiveness, and call emergency services immediately; start CPR if necessary."
"Electric Shock"," Burns with irregular heartbeat and muscle stiffness","Ensure the power is off, avoid moving the victim unnecessarily, and call for immediate emergency help."
"Electric Shock"," Tingling sensations, burns, and brief unconsciousness after shock","Disconnect the electrical source, check responsiveness and breathing, and seek emergency care promptly."
"Electric Shock"," Muscle contractions, superficial burns, and confusion post-contact","Turn off the source, avoid further contact, and call emergency services immediately."
"Electric Shock"," Disorientation with burns and numbness in limbs after shock","Safely disconnect power, check responsiveness, and call for emergency medical assistance."
"Electric Shock"," Painful burns with muscle spasms and altered consciousness","Ensure power is off, avoid moving the victim, and call emergency services immediately."
"Electric Shock"," Burns with irregular breathing and confusion","Disconnect power, monitor vital signs, and call for emergency help immediately."
"Electric Shock"," Severe shock with muscle rigidity and visible burns","Turn off the electrical source, check for responsiveness, and call emergency services immediately."
"Electric Shock"," Tingling, burn marks, and brief loss of consciousness","Disconnect the power source, monitor the victim, and call emergency help immediately."
"Electric Shock"," Burns with muscle twitching and disorientation after shock","Ensure the power is off, avoid further injury, and call emergency services immediately."
"Electric Shock"," Numbness with burns and muscle stiffness after exposure to electricity","Safely disconnect power, check for responsiveness, and call emergency help without delay."
"Electric Shock"," Superficial burns with muscle spasms and confusion","Turn off the power, monitor breathing, and seek emergency help immediately."
"Electric Shock"," Burns with irregular heartbeat and disorientation","Ensure the victim is away from the electrical source, check vitals, and call emergency services immediately."
"Electric Shock"," Muscle contractions with burns and altered mental status","Disconnect power safely, avoid moving the victim, and call for emergency help immediately."
"Electric Shock"," Visible burns with numbness and erratic breathing after shock","Turn off the power source, check responsiveness, and call emergency services immediately."
"Electric Shock"," Confusion with burns and intermittent muscle spasms post-shock","Ensure power is off, keep the victim still, and call emergency help immediately."
"Electric Shock"," Burns with brief unconsciousness and muscle rigidity","Disconnect the electrical source, monitor vital signs, and call emergency services without delay."
"Electric Shock"," Numbness with superficial burns and muscle twitching","Ensure power is off, check for responsiveness, and call for emergency help immediately."
"Electric Shock"," Severe pain with burn marks and disorientation","Safely disconnect power, monitor breathing and pulse, and call emergency services immediately."
"Electric Shock"," Burns with muscle spasms and altered consciousness","Turn off the power source, avoid moving the victim, and call emergency services immediately."
"Electric Shock"," Tingling sensation with visible burns and confusion","Disconnect power safely, check responsiveness, and seek emergency care immediately."
"Electric Shock"," Burns with muscle stiffness and irregular breathing","Ensure the power is off, keep the victim stable, and call emergency services immediately."
"Electric Shock"," Disorientation with superficial burns and muscle twitching","Turn off the power, avoid further movement, and call for emergency help immediately."
"Electric Shock"," Burns with numbness and erratic muscle contractions","Disconnect power safely, monitor vitals, and call emergency services immediately."
"Electric Shock"," Muscle spasms with burn marks and brief loss of consciousness","Ensure the electrical source is off, check responsiveness, and call emergency help immediately."
"Electric Shock"," Confusion with visible burns and intermittent muscle rigidity","Turn off power, avoid moving the victim, and seek emergency medical assistance immediately."
"Electric Shock"," Burns with irregular heartbeat and brief disorientation","Disconnect power, monitor breathing, and call emergency services without delay."
"Electric Shock"," Tingling, burns, and muscle twitching with altered mental status","Ensure safety by disconnecting power, check vital signs, and call for emergency help immediately."
"Electric Shock"," Visible burns with muscle rigidity and confusion","Turn off the power source, monitor the victim carefully, and call emergency services immediately."
"Electric Shock"," Numbness with burn marks and intermittent muscle spasms","Disconnect the power safely, check responsiveness, and contact emergency services immediately."
"Electric Shock"," Burns with erratic muscle contractions and brief disorientation","Ensure power is off, avoid further movement, and call for emergency help immediately."
"Electric Shock"," Superficial burns with confusion and irregular breathing","Disconnect power, monitor vital signs, and call emergency services immediately."
"Electric Shock"," Burns with muscle twitching and altered consciousness","Ensure the power source is off, check for responsiveness, and call emergency services immediately."
"Electric Shock"," Visible burns with intermittent muscle rigidity and disorientation","Turn off power, keep the victim still, and call for emergency help immediately."
"Electric Shock"," Tingling with burn marks and erratic breathing","Disconnect power safely, monitor the victim, and contact emergency services immediately."
"Electric Shock"," Burns with muscle spasms and brief confusion","Ensure power is off, avoid unnecessary movement, and call emergency help immediately."
"Electric Shock"," Numbness with visible burns and erratic muscle contractions","Disconnect power, monitor breathing, and call emergency services immediately."
"Electric Shock"," Burns with muscle rigidity and altered mental status","Turn off the electrical source, check vital signs, and call for emergency help immediately."
"Electric Shock"," Superficial burns with intermittent muscle twitching and confusion","Ensure safety by disconnecting power and call emergency services immediately."
"Electric Shock"," Burns with erratic muscle spasms and brief disorientation","Disconnect power, keep the victim still, and seek emergency help immediately."
"Electric Shock"," Visible burns with numbness and irregular breathing","Turn off power, avoid moving the victim, and call emergency services immediately."
"Electric Shock"," Muscle spasms with burn marks and altered consciousness","Disconnect the source, monitor the victim, and call for emergency help immediately."
"Electric Shock"," Burns with intermittent muscle rigidity and confusion","Ensure power is off, check responsiveness, and call emergency services without delay."
"Electric Shock"," Tingling with superficial burns and erratic contractions","Disconnect power safely, monitor vital signs, and call for emergency help immediately."
"Electric Shock"," Burns with muscle twitching and brief disorientation","Turn off the power source, keep the victim immobile, and seek immediate emergency care."
"Electric Shock"," Visible burns with irregular muscle contractions and confusion","Disconnect power, check for responsiveness, and call emergency services immediately."
"Heat Stroke"," High body temperature, confusion, and rapid heartbeat","Move the person to a cool, shaded area, apply cool water or compresses, and call emergency services."
"Heat Stroke"," Dizziness, profuse sweating followed by dry skin, and headache","Immediately move to a cool place, fan with water, and call for emergency help if symptoms worsen."
"Heat Stroke"," Nausea, hot flushed skin, and rapid breathing","Cool the person with damp cloths, have them rest in a cool environment, and seek urgent medical care."
"Heat Stroke"," Confusion, weakness, and high body temperature","Move to an air-conditioned area, cool with water mist, and call emergency services immediately."
"Heat Stroke"," Dizziness with dry, hot skin and rapid pulse","Bring the person indoors, use cool compresses, and call for emergency help right away."
"Heat Stroke"," Fainting with high temperature and red, dry skin","Lay the person down in a cool area, cool with water, and call emergency services immediately."
"Heat Stroke"," Rapid heartbeat with confusion and hot, dry skin","Move to shade or indoors, apply cool wet towels, and seek urgent medical attention."
"Heat Stroke"," Headache, dizziness, and inability to sweat with hot skin","Move the person to a cool environment, mist with water, and call emergency services if necessary."
"Heat Stroke"," Disorientation with high body temperature and flushed skin","Cool the victim with water, provide shade, and immediately call for emergency help."
"Heat Stroke"," Weakness, confusion, and a rapid, pounding pulse","Move to a cool place, apply cool compresses, and call emergency services without delay."
"Heat Stroke"," High body temperature with dry, hot skin and headache","Immediately move to an air-conditioned area, cool with water, and call for urgent care."
"Heat Stroke"," Confusion, nausea, and rapid breathing with hot skin","Bring indoors, cool the person with damp cloths, and call emergency services immediately."
"Heat Stroke"," Dizziness, red hot skin, and rapid heartbeat","Move to a cool area, use cool water immersion if possible, and call emergency services immediately."
"Heat Stroke"," Disorientation with high temperature and dry, flushed skin","Cool the person down with wet towels, have them rest, and call for emergency help."
"Heat Stroke"," Weakness, headache, and high body temperature with minimal sweating","Move to a cool area immediately, apply cool compresses, and seek urgent medical care."
"Heat Stroke"," Nausea, confusion, and rapid pulse with overheated skin","Bring indoors, use cool water or fans to reduce temperature, and call emergency services immediately."
"Heat Stroke"," Dizziness, red hot skin, and rapid shallow breathing","Move the victim to a cooler place, apply cool compresses, and call emergency services."
"Heat Stroke"," Disorientation with high temperature and dry, flushed skin","Cool the person down with wet towels, have them rest, and call for emergency help."
"Heat Stroke"," Weakness, headache, and high body temperature with minimal sweating","Move to a cool area immediately, apply cool compresses, and seek urgent medical care."
"Heat Stroke"," Nausea, confusion, and rapid pulse with overheated skin","Bring indoors, use cool water or fans to reduce temperature, and call emergency services immediately."
"Heat Stroke"," Dizziness, red hot skin, and rapid shallow breathing","Move the victim to a cooler place, apply cool compresses, and call for emergency help without delay."
"Heat Stroke"," Faintness, high body temperature, and confusion","Immediately move to a cool environment, start cooling measures, and call emergency services."
"Heat Stroke"," Confusion, hot dry skin, and rapid heart rate","Transfer to a cool area, apply cool water, and seek emergency care immediately."
"Heat Stroke"," Dizziness, weakness, and high temperature with flushed skin","Move to a shaded, cool area, apply cool compresses, and call emergency services promptly."
"Heat Stroke"," Disorientation with a rapid pulse and hot, dry skin","Cool the person immediately with water mist, have them rest in a cool area, and call emergency help."
"Heat Stroke"," Fainting, confusion, and extremely high body temperature","Lay the person down, cool with water and ice packs, and call emergency services immediately."
"Heat Stroke"," Profuse sweating turning to dry skin, confusion, and rapid heartbeat","Move indoors, apply cool water to the skin, and seek urgent medical help."
"Heat Stroke"," Intense headache, dizziness, and high body temperature with hot skin","Relocate to a cool environment immediately, use cool compresses, and call emergency services."
"Heat Stroke"," Confusion, nausea, and rapid pulse with overheated, dry skin","Move to an air-conditioned area, cool with water mist, and call for emergency care immediately."
"Heat Stroke"," Dizziness, flushed skin, and high temperature with rapid breathing","Immediately transfer the person to a cool space, apply cool cloths, and call emergency services."
"Heat Stroke"," Weakness, confusion, and a high, rapid pulse with hot skin","Move the person to a cooler environment, use cool compresses, and call for emergency help without delay."
"Heat Stroke"," Disorientation, severe headache, and hot dry skin with rapid breathing","Bring indoors, apply cool water, and call emergency services immediately."
"Heat Stroke"," Faintness, confusion, and a rapid, pounding heartbeat with overheated skin","Move to shade, cool with wet towels, and seek urgent medical attention."
"Heat Stroke"," Nausea, dizziness, and high body temperature with flushed, dry skin","Transfer to a cool area immediately, apply cool compresses, and call emergency services."
"Heat Stroke"," Rapid shallow breathing, confusion, and hot, dry skin","Move the victim to a cool environment, start cooling measures, and call for emergency help."
"Heat Stroke"," Severe headache, dizziness, and rapid pulse with overheated skin","Immediately relocate to a cool place, use water mist or fans, and seek urgent care."
"Heat Stroke"," Confusion, weakness, and high body temperature with hot, red skin","Cool the person down quickly with wet towels, have them rest, and call emergency services."
"Heat Stroke"," Dizziness, nausea, and rapid heartbeat with hot, dry skin","Move indoors immediately, apply cool compresses, and call for emergency help."
"Heat Stroke"," Disorientation, rapid pulse, and high body temperature with flushed skin","Transfer to a cool area, use cooling methods, and call emergency services promptly."
"Heat Stroke"," Faintness, confusion, and overheating with rapid, shallow breaths","Move the person to a cool space, apply cool water, and seek emergency care immediately."
"Heat Stroke"," Weakness, intense headache, and high body temperature with hot skin","Immediately transfer indoors, cool with fans and water, and call emergency services."
"Heat Stroke"," Dizziness, confusion, and rapid heartbeat with overheated, dry skin","Move to a cool area, use cooling measures, and call for urgent medical help."
"Heat Stroke"," Confusion, nausea, and high body temperature with flushed skin","Relocate to a cool environment immediately, apply cool compresses, and call emergency services."
"Heat Stroke"," Rapid, shallow breathing with headache and overheated, dry skin","Move indoors, cool with water and ice packs, and seek emergency care promptly."
"Heat Stroke"," Intense dizziness, confusion, and high temperature with hot, red skin","Transfer to a cool area immediately, apply cooling measures, and call emergency services."
"Heat Stroke"," Faintness, rapid heartbeat, and overheated skin with confusion","Move the victim to a cooler environment, cool with wet towels, and call for emergency help."
"Heat Stroke"," Severe headache, dizziness, and rapid pulse with hot, dry skin","Immediately move indoors, apply cool compresses, and seek urgent medical care."
"Heat Stroke"," Confusion, nausea, and intense weakness with high body temperature","Transfer to a cool space, start cooling measures, and call emergency services without delay."
"Heat Stroke"," Dizziness, flushed skin, and rapid shallow breathing with confusion","Move to an air-conditioned area, cool with water mist, and call for emergency help."
"Heat Stroke"," Weakness, intense headache, and overheated, dry skin with rapid pulse","Immediately relocate to a cool area, apply cooling measures, and seek urgent care."
"Heat Stroke"," Disorientation, rapid, shallow breaths, and high temperature with hot skin","Move the person indoors, use cool compresses, and call emergency services immediately."
"Heat Stroke"," Confusion, nausea, and rapid pulse with overheated, flushed skin","Transfer to a cool environment, apply water mist, and call for emergency help promptly."
"Heat Stroke"," Dizziness, weakness, and high body temperature with hot, dry skin","Immediately move to a cool area, use cooling methods, and call emergency services."
"Heat Stroke"," Confusion, rapid heartbeat, and overheated skin with intense headache","Transfer indoors immediately, cool the person with damp cloths, and call emergency services."
"High Blood Pressure"," Severe headache, blurred vision, and dizziness","Have the person sit down, encourage slow deep breaths, and contact a doctor if symptoms persist."
"High Blood Pressure"," Intense headache with chest pressure and shortness of breath","Advise immediate rest, loosen tight clothing, and seek medical evaluation promptly."
"High Blood Pressure"," Dizziness, blurred vision, and pounding headache","Encourage the person to sit quietly, monitor symptoms, and consult a healthcare provider."
"High Blood Pressure"," Severe headache with nausea and visual disturbances","Have the individual sit and rest, and call for medical advice if symptoms worsen."
"High Blood Pressure"," Sudden headache, chest discomfort, and lightheadedness","Advise sitting quietly, monitoring blood pressure if possible, and seeking urgent care."
"High Blood Pressure"," Intense headache with shortness of breath and blurred vision","Have the person rest in a calm environment and call for medical evaluation immediately."
"High Blood Pressure"," Dizziness with headache and a feeling of pressure in the head","Encourage sitting down, deep breathing, and contacting a doctor for further evaluation."
"High Blood Pressure"," Severe headache with blurred vision and a sense of pressure in the chest","Advise immediate rest, monitor symptoms, and seek urgent medical help if needed."
"High Blood Pressure"," Throbbing headache, dizziness, and visual disturbances","Have the person lie down, loosen tight clothing, and call a healthcare provider for advice."
"High Blood Pressure"," Intense headache with lightheadedness and a sense of fullness in the head","Encourage the individual to sit quietly, monitor blood pressure if possible, and seek medical care."
"High Blood Pressure"," Sudden headache, blurred vision, and chest tightness","Advise immediate rest, keep the person calm, and call for medical help if symptoms persist."
"High Blood Pressure"," Severe headache with dizziness and visual blurring","Have the person sit, loosen restrictive clothing, and contact a doctor for further evaluation."
"High Blood Pressure"," Dizziness with pounding headache and slight nausea","Advise sitting quietly, deep breathing, and following up with a healthcare provider."
"High Blood Pressure"," Intense headache with pressure in the head and blurred vision","Have the individual rest in a calm setting and seek medical evaluation promptly."
"High Blood Pressure"," Sudden throbbing headache, dizziness, and slight chest pressure","Advise the person to sit and relax, monitor symptoms, and call a doctor if necessary."
"High Blood Pressure"," Severe headache with lightheadedness and blurred vision episodes","Encourage sitting down, deep breathing, and prompt consultation with a healthcare professional."
"High Blood Pressure"," Dizziness with a severe headache and visual disturbances","Have the person rest, loosen tight garments, and seek urgent medical advice if needed."
"High Blood Pressure"," Intense headache with a sensation of pressure and slight nausea","Advise immediate rest, monitor symptoms, and consult a healthcare provider as soon as possible."
"High Blood Pressure"," Throbbing headache with dizziness and a feeling of chest tightness","Have the person sit quietly, relax, and call for medical evaluation if symptoms worsen."
"High Blood Pressure"," Severe headache with blurred vision and lightheadedness","Advise the individual to sit and rest, monitor blood pressure if possible, and seek urgent care."
"High Blood Pressure"," Dizziness with an intense headache and slight chest pressure","Have the person remain seated, encourage deep breaths, and follow up with a healthcare provider."
"High Blood Pressure"," Intense headache with blurred vision and a sensation of fullness in the head","Advise immediate rest and prompt medical consultation if the headache persists."
"High Blood Pressure"," Severe, pounding headache with dizziness and visual blurring","Have the individual sit quietly, monitor symptoms, and contact a doctor for evaluation."
"High Blood Pressure"," Throbbing headache with lightheadedness and a sense of pressure","Advise immediate rest, loosen tight clothing, and seek medical advice if necessary."
"High Blood Pressure"," Intense headache with blurred vision and occasional dizziness","Encourage the person to sit and relax, monitor symptoms, and consult a healthcare provider."
"High Blood Pressure"," Sudden headache with dizziness and a feeling of pressure in the head","Advise sitting quietly, deep breathing, and prompt follow-up with a doctor if symptoms persist."
"High Blood Pressure"," Severe headache with slight chest pressure and blurred vision","Have the person rest, avoid physical exertion, and seek medical evaluation promptly."
"High Blood Pressure"," Intense headache with dizziness and visual disturbances","Advise the individual to sit, relax, and call for medical help if the condition does not improve."
"High Blood Pressure"," Throbbing headache with lightheadedness and a sense of chest tightness","Encourage rest and calm breathing, and seek urgent medical advice if symptoms worsen."
"High Blood Pressure"," Severe headache with blurred vision and mild dizziness","Have the person sit quietly, monitor their condition, and consult a healthcare provider as soon as possible."
"High Blood Pressure"," Dizziness with an intense, pounding headache and slight pressure in the head","Advise immediate rest and prompt consultation with a doctor."
"High Blood Pressure"," Intense headache with lightheadedness and intermittent blurred vision","Encourage the person to sit down, relax, and seek medical evaluation promptly."
"High Blood Pressure"," Severe, throbbing headache with dizziness and a feeling of fullness in the head","Have the individual rest in a calm environment and follow up with a healthcare provider."
"High Blood Pressure"," Dizziness with a severe headache and slight visual blurring","Advise immediate rest, loosen tight clothing, and call for medical advice if necessary."
"High Blood Pressure"," Intense headache with lightheadedness and a sensation of pressure in the head","Encourage sitting quietly and contact a healthcare provider for evaluation."
"High Blood Pressure"," Severe headache with blurred vision and intermittent dizziness","Have the person rest, monitor symptoms, and seek urgent medical consultation if needed."
"High Blood Pressure"," Throbbing headache with a feeling of pressure and occasional lightheadedness","Advise immediate rest and prompt medical evaluation."
"High Blood Pressure"," Intense headache with slight chest pressure and blurred vision","Have the person sit, relax, and call for a medical check-up as soon as possible."
"High Blood Pressure"," Severe, pounding headache with dizziness and mild visual blurring","Advise rest, calm deep breathing, and urgent consultation with a healthcare provider."
"High Blood Pressure"," Throbbing headache with lightheadedness and a sensation of fullness","Have the individual sit quietly and seek prompt medical advice."
"High Blood Pressure"," Intense headache with intermittent dizziness and blurred vision","Advise the person to rest, loosen tight clothing, and contact a doctor if symptoms persist."
"High Blood Pressure"," Severe headache with a feeling of pressure and occasional dizziness","Have the person sit down, monitor their condition, and consult a healthcare provider."
"High Blood Pressure"," Throbbing headache with blurred vision and a sense of tightness","Encourage immediate rest and prompt medical evaluation if necessary."
"High Blood Pressure"," Intense headache with lightheadedness and a subtle chest pressure","Advise sitting quietly, deep breathing, and contacting a doctor for further evaluation."
"High Blood Pressure"," Severe headache with intermittent dizziness and blurred vision","Have the individual rest in a calm setting and seek urgent medical advice if needed."
"High Blood Pressure"," Throbbing headache with a sensation of pressure and slight dizziness","Encourage the person to sit, relax, and follow up with a healthcare provider."
"High Blood Pressure"," Intense headache with lightheadedness and subtle visual disturbances","Advise immediate rest, monitor symptoms, and consult a doctor promptly."
"High Blood Pressure"," Severe, pounding headache with a feeling of pressure and occasional dizziness","Have the individual sit quietly and seek urgent medical evaluation."
"High Blood Pressure"," Throbbing headache with blurred vision and mild lightheadedness","Encourage rest, loosen restrictive clothing, and call for medical advice if symptoms worsen."
"High Blood Pressure"," Intense headache with intermittent dizziness and a feeling of pressure","Advise immediate rest, monitor the condition, and consult a healthcare provider as soon as possible."
"Migraine"," Intense throbbing headache with nausea and sensitivity to light","Have the person rest in a dark, quiet room, apply a cold compress, and take prescribed pain medication."
"Migraine"," Severe headache with visual aura and moderate nausea","Encourage resting in a dim room, use cold packs on the head, and offer over-the-counter pain relievers if appropriate."
"Migraine"," Pulsating headache with nausea, sensitivity to sound, and light","Advise the person to lie down in a quiet, dark space and use prescribed migraine medication."
"Migraine"," Intense, unilateral headache with nausea and blurred vision","Encourage resting in a dark room, applying a cold compress, and taking migraine-specific medication."
"Migraine"," Severe headache with pulsating pain, nausea, and sensitivity to light","Have the person lie down, dim the lights, apply a cold pack, and use prescribed pain relief."
"Migraine"," Throbbing headache with nausea and sensitivity to noise","Advise retreating to a quiet, dark room, applying cold compresses, and taking prescribed medication."
"Migraine"," Intense headache with visual disturbances and moderate nausea","Encourage rest in a dark, quiet environment, apply a cool cloth, and take appropriate migraine medication."
"Migraine"," Severe pulsating headache with nausea and sensitivity to light and sound","Have the person lie down in a dark room, use a cold compress, and administer prescribed pain relievers."
"Migraine"," Throbbing, one-sided headache with nausea and light sensitivity","Advise the person to rest in a dark, quiet room, apply ice to the head, and take prescribed medication."
"Migraine"," Intense migraine with pulsating pain, visual aura, and nausea","Encourage resting in a quiet, dim room, apply a cold compress, and take migraine medication as directed."
"Migraine"," Severe headache with throbbing pain, nausea, and sensitivity to light","Have the person rest in a dark environment, use a cool cloth on the forehead, and take prescribed migraine medicine."
"Migraine"," Intense unilateral headache with nausea and moderate light sensitivity","Advise retreating to a quiet, dark room, applying cold packs, and taking appropriate medication."
"Migraine"," Pulsating headache with nausea, blurred vision, and sensitivity to sound","Encourage the person to lie down in a dark, quiet space and use prescribed migraine relief."
"Migraine"," Severe headache with throbbing pain, nausea, and a visual aura","Have the person rest in a quiet, dim room, apply a cold compress, and take prescribed medication."
"Migraine"," Intense one-sided headache with nausea and sensitivity to light","Advise resting in a dark room, applying a cool cloth to the head, and using migraine medication."
"Migraine"," Throbbing headache with nausea, blurred vision, and sound sensitivity","Encourage the person to lie down in a quiet, dark room and take prescribed pain relievers."
"Migraine"," Severe, pulsating headache with nausea and visual disturbances","Have the person rest in a dim room, use a cold compress, and take appropriate migraine medication."
"Migraine"," Intense headache with throbbing pain, nausea, and photophobia","Advise retreating to a quiet, dark space, applying cold packs, and using prescribed medication."
"Migraine"," Pulsating, one-sided headache with moderate nausea and light sensitivity","Encourage rest in a dark room, apply an ice pack, and take prescribed pain relief."
"Migraine"," Severe migraine with throbbing pain, nausea, and sensitivity to sound","Have the person lie down in a quiet, dark room, use a cool compress, and take prescribed medication."
"Migraine"," Intense headache with pulsating pain, nausea, and blurred vision","Advise resting in a dark, quiet environment, applying a cold compress, and taking migraine medication."
"Migraine"," Severe, throbbing headache with moderate nausea and photophobia","Encourage the person to lie down in a dark room, apply a cold pack, and take prescribed medication."
"Migraine"," Pulsating, one-sided headache with nausea and sensitivity to light","Have the person rest in a quiet, dim room, use a cold compress, and take migraine-specific medication."
"Migraine"," Intense headache with throbbing pain, nausea, and visual aura","Advise retreating to a dark, quiet space, applying a cool cloth, and using prescribed migraine relief."
"Migraine"," Severe migraine with pulsating pain, nausea, and sensitivity to noise","Encourage the person to lie down in a dark room, apply an ice pack, and take prescribed medication."
"Migraine"," Throbbing headache with nausea, blurred vision, and light sensitivity","Have the person rest in a quiet, dark environment, use a cold compress, and take migraine medication."
"Migraine"," Intense, one-sided headache with nausea and moderate photophobia","Advise resting in a dark room, applying a cool compress, and taking prescribed pain relief."
"Migraine"," Severe pulsating headache with nausea, visual aura, and sensitivity to sound","Encourage the person to lie down in a quiet, dim room and take migraine medication as directed."
"Migraine"," Throbbing headache with nausea, blurred vision, and light sensitivity","Have the person rest in a dark environment, use a cold pack, and take appropriate medication."
"Migraine"," Intense, unilateral headache with pulsating pain, nausea, and photophobia","Advise retreating to a quiet, dark room, applying a cold compress, and using prescribed medication."
"Migraine"," Severe migraine with throbbing pain, nausea, and sensitivity to light and sound","Encourage rest in a dark room, apply an ice pack, and take migraine-specific medication."
"Migraine"," Pulsating headache with nausea, visual disturbances, and moderate light sensitivity","Have the person lie down in a quiet, dark space and use prescribed migraine relief."
"Migraine"," Intense, one-sided headache with throbbing pain, nausea, and blurred vision","Advise resting in a dim room, using a cold compress, and taking prescribed medication."
"Migraine"," Severe headache with pulsating pain, moderate nausea, and photophobia","Encourage the person to lie down in a quiet, dark room and use prescribed pain relievers."
"Migraine"," Throbbing, unilateral headache with nausea, visual aura, and light sensitivity","Have the person rest in a dark room, apply a cool cloth, and take migraine medication."
"Migraine"," Intense headache with pulsating pain, blurred vision, and nausea","Advise retreating to a quiet, dark space, using a cold compress, and taking prescribed medication."
"Migraine"," Severe, throbbing headache with nausea, sensitivity to light, and mild aura","Encourage resting in a dark room, applying an ice pack, and taking migraine medication as directed."
"Migraine"," Pulsating, one-sided headache with moderate nausea and photophobia","Have the person lie down in a quiet, dark room and use prescribed pain relief."
"Migraine"," Intense headache with throbbing pain, nausea, and sensitivity to sound","Advise resting in a dark environment, applying a cold compress, and taking prescribed medication."
"Migraine"," Severe migraine with pulsating pain, visual aura, and nausea","Encourage the person to lie down in a quiet, dim room, use an ice pack, and take migraine medication."
"Migraine"," Throbbing headache with intense pain, nausea, and light sensitivity","Have the person rest in a dark, quiet room, apply a cool compress, and take prescribed medication."
"Migraine"," Intense, unilateral headache with pulsating pain, blurred vision, and nausea","Advise retreating to a quiet, dark space, applying a cold compress, and using prescribed migraine relief."
"Migraine"," Severe headache with throbbing pain, moderate nausea, and sensitivity to light","Encourage rest in a dark room, use a cold compress, and take prescribed medication."
"Migraine"," Pulsating, one-sided headache with nausea, visual disturbances, and photophobia","Have the person lie down in a quiet, dim room and take migraine medication as directed."
"Migraine"," Intense headache with throbbing pain, nausea, and sensitivity to sound","Advise the person to rest in a dark room, apply an ice pack, and use prescribed medication."
"Migraine"," Severe migraine with pulsating pain, blurred vision, and moderate nausea","Encourage resting in a quiet, dark space, applying a cool compress, and taking prescribed medication."
"Migraine"," Throbbing headache with intense pain, nausea, and visual aura","Have the person lie down in a dark room, use a cold compress, and take migraine medication."
"Migraine"," Intense, unilateral headache with pulsating pain, nausea, and sensitivity to light","Advise rest in a dark, quiet room, apply a cool cloth, and take prescribed pain relievers."
"Migraine"," Severe headache with throbbing pain, visual disturbances, and nausea","Encourage the person to lie down in a quiet, dark room, use an ice pack, and take migraine medication as directed."
"Migraine"," Pulsating, one-sided headache with intense pain, nausea, and photophobia","Have the person rest in a dark room, apply a cold compress, and take prescribed medication."
"Disease,Symptoms,First Aid"
"Heart Attack","Severe chest pain radiating to the left arm, shortness of breath, and cold sweat","Call emergency services immediately, help the person sit and remain calm, and assist with prescribed medication if available."
"Heart Attack","Intense pressure in the chest with pain in the jaw and shortness of breath","Call 108 immediately, have the person rest in an upright position, and administer aspirin if advised."
"Heart Attack","Crushing chest pain with pain spreading to the neck and shoulder accompanied by nausea","Call emergency services without delay, help the person sit down, and offer aspirin if not contraindicated."
